0.005,144.4
0.01,150.3
0.015,157.4
0.02,158.6
0.025,158.1
0.03,155.2
0.035,158.4
0.04,162.2
0.045,157.1
0.05,154.2
0.055,161.4
0.06,155.4
0.065,160.1
0.07,155.4
0.075,156.2
0.08,160.1
0.085,156.1
0.09,157.8
0.095,156.3
0.1,156.9
0.105,158.4
0.11,158.6
0.115,156.8
0.12,159.4
0.125,153.6
0.13,156.5
0.135,158.9
0.14,155.5
0.145,157.4
0.15,157.0
0.155,147.1
0.16,158.5
0.165,159.5
0.17,159.2
0.175,158.8
0.18,159.0
0.185,161.9
0.19,158.4
0.195,156.5
0.2,162.1
0.205,156.0
0.21,156.9
0.215,158.9
0.22,157.5
0.225,158.4
0.23,160.7
0.235,157.9
0.24,159.2
0.245,158.3
0.25,151.5
